Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Segment,Region,State,Category,Sub-Category,Sales,Quantity,Discount,Profit,Segment_enc,Region_enc,Category_enc,Ship Mode_enc
US-2020-001001,2020-03-06,2020-03-07,First Class,CUS-4611,Consumer,West,Washington,Office Supplies,Paper,147.53,9,0.4,13.82,0,3,1,0
US-2022-001002,2022-07-08,2022-07-13,Same Day,CUS-6514,Home Office,West,Washington,Furniture,Bookcases,349.28,3,0.1,27.99,2,3,0,1
US-2020-001003,2020-07-28,2020-07-29,Standard Class,CUS-9785,Corporate,South,Georgia,Office Supplies,Storage,51.86,1,0.5,4.82,1,2,1,3
US-2020-001004,2020-09-12,2020-09-19,Standard Class,CUS-4733,Corporate,West,Arizona,Office Supplies,Paper,32.77,2,0.0,8.6,1,3,1,3
US-2021-001005,2021-08-15,2021-08-16,Standard Class,CUS-6820,Corporate,East,New York,Furniture,Bookcases,345.52,3,0.3,62.68,1,1,0,3
US-2021-001006,2021-03-05,2021-03-10,Second Class,CUS-8573,Home Office,West,Arizona,Office Supplies,Fasteners,22.66,4,0.0,2.58,2,3,1,2
US-2022-001007,2022-02-16,2022-02-21,Second Class,CUS-2084,Consumer,East,Ohio,Technology,Accessories,415.42,7,0.2,29.32,0,1,2,2
US-2021-001008,2021-03-08,2021-03-13,Same Day,CUS-9830,Corporate,East,Virginia,Technology,Accessories,221.21,3,0.1,37.99,1,1,2,1
US-2021-001009,2021-06-22,2021-06-29,Second Class,CUS-2796,Consumer,South,Alabama,Office Supplies,Art,22.18,2,0.0,3.05,0,2,1,2
US-2020-001010,2020-11-09,2020-11-12,Same Day,CUS-1188,Consumer,South,Mississippi,Furniture,Furnishings,733.41,9,0.2,45.27,0,2,0,1
US-2022-001012,2022-10-22,2022-10-25,Second Class,CUS-6310,Home Office,West,Oregon,Technology,Accessories,259.36,3,0.0,74.06,2,3,2,2
US-2022-001014,2022-09-22,2022-09-23,Same Day,CUS-4470,Home Office,East,Pennsylvania,Office Supplies,Paper,81.66,5,0.4,2.13,2,1,1,1
US-2023-001015,2023-01-09,2023-01-12,Standard Class,CUS-4681,Home Office,Central,Indiana,Furniture,Furnishings,112.65,2,0.1,9.44,2,0,0,3
US-2020-001016,2020-05-11,2020-05-16,Standard Class,CUS-1964,Home Office,West,Arizona,Office Supplies,Paper,12.39,1,0.0,4.15,2,3,1,3
US-2021-001017,2021-04-13,2021-04-14,Second Class,CUS-8744,Consumer,West,Oregon,Furniture,Furnishings,298.94,4,0.0,87.45,0,3,0,2
US-2021-001018,2021-05-12,2021-05-19,First Class,CUS-7735,Consumer,South,Tennessee,Office Supplies,Art,66.37,6,0.4,2.15,0,2,1,0
US-2023-001021,2023-08-28,2023-08-29,Same Day,CUS-1960,Consumer,West,Washington,Furniture,Furnishings,185.54,4,0.4,24.44,0,3,0,1
US-2020-001022,2020-12-03,2020-12-10,Same Day,CUS-3536,Corporate,West,Nevada,Furniture,Furnishings,658.66,9,0.5,49.15,1,3,0,1
US-2021-001023,2021-01-23,2021-01-28,Standard Class,CUS-8811,Home Office,East,New York,Office Supplies,Storage,58.26,1,0.0,12.0,2,1,1,3
US-2022-001024,2022-10-26,2022-10-29,Second Class,CUS-2964,Consumer,West,Arizona,Technology,Phones,1792.88,4,0.4,77.14,0,3,2,2
US-2023-001025,2023-03-12,2023-03-15,Same Day,CUS-5272,Consumer,West,Arizona,Office Supplies,Labels,95.03,10,0.3,14.28,0,3,1,1
US-2021-001026,2021-02-22,2021-02-27,Second Class,CUS-6180,Corporate,East,Ohio,Office Supplies,Fasteners,24.99,5,0.5,2.39,1,1,1,2
US-2021-001028,2021-12-15,2021-12-16,Second Class,CUS-5905,Corporate,East,Ohio,Furniture,Bookcases,1691.68,10,0.0,184.05,1,1,0,2
US-2023-001029,2023-09-20,2023-09-21,First Class,CUS-5616,Consumer,East,Ohio,Office Supplies,Labels,20.62,3,0.2,2.05,0,1,1,0
US-2023-001030,2023-05-23,2023-05-26,Standard Class,CUS-2512,Home Office,Central,Illinois,Office Supplies,Art,57.33,5,0.0,7.53,2,0,1,3
US-2023-001031,2023-07-23,2023-07-30,Standard Class,CUS-8007,Consumer,Central,Texas,Technology,Accessories,244.4,3,0.5,11.51,0,0,2,3
US-2023-001032,2023-02-22,2023-02-23,Second Class,CUS-8041,Home Office,West,California,Office Supplies,Binders,139.59,6,0.0,29.71,2,3,1,2
US-2020-001033,2020-09-18,2020-09-19,Standard Class,CUS-7658,Consumer,Central,Michigan,Technology,Computers,1438.7,2,0.3,222.47,0,0,2,3
US-2021-001036,2021-04-11,2021-04-14,Standard Class,CUS-9346,Corporate,West,Washington,Furniture,Chairs,1052.9,5,0.3,165.04,1,3,0,3
US-2022-001037,2022-03-29,2022-04-03,Second Class,CUS-8119,Corporate,West,California,Office Supplies,Storage,75.79,1,0.0,20.36,1,3,1,2
US-2021-001038,2021-12-08,2021-12-13,First Class,CUS-8144,Home Office,South,Mississippi,Furniture,Tables,3741.21,5,0.0,270.17,2,2,0,0
US-2020-001039,2020-01-04,2020-01-07,Standard Class,CUS-9308,Consumer,Central,Indiana,Office Supplies,Storage,118.87,2,0.2,6.77,0,0,1,3
US-2021-001040,2021-09-25,2021-10-02,Standard Class,CUS-7211,Home Office,Central,Indiana,Office Supplies,Paper,72.15,4,0.4,6.98,2,0,1,3
US-2023-001041,2023-10-19,2023-10-22,First Class,CUS-6279,Home Office,Central,Indiana,Furniture,Bookcases,615.36,4,0.4,17.34,2,0,0,0
US-2022-001042,2022-08-10,2022-08-17,Same Day,CUS-9445,Home Office,South,Tennessee,Office Supplies,Paper,26.35,2,0.2,2.61,2,2,1,1
US-2021-001044,2021-05-16,2021-05-23,Second Class,CUS-7547,Corporate,West,Nevada,Office Supplies,Fasteners,40.42,7,0.5,2.32,1,3,1,2
US-2021-001045,2021-05-14,2021-05-17,Second Class,CUS-2988,Corporate,West,California,Technology,Copiers,1017.41,1,0.1,222.38,1,3,2,2
US-2022-001046,2022-07-23,2022-07-26,Standard Class,CUS-3607,Home Office,South,Mississippi,Furniture,Furnishings,536.7,9,0.5,35.16,2,2,0,3
US-2022-001047,2022-08-30,2022-09-06,Standard Class,CUS-8206,Home Office,Central,Illinois,Office Supplies,Art,50.54,4,0.2,6.73,2,0,1,3
US-2020-001048,2020-06-07,2020-06-12,Standard Class,CUS-4788,Corporate,East,Ohio,Office Supplies,Binders,86.28,3,0.0,15.38,1,1,1,3
US-2022-001049,2022-02-23,2022-02-26,Same Day,CUS-4388,Corporate,East,New York,Furniture,Furnishings,289.23,7,0.0,23.82,1,1,0,1
US-2022-001050,2022-05-10,2022-05-17,Same Day,CUS-7865,Corporate,West,Arizona,Technology,Accessories,325.03,5,0.4,31.95,1,3,2,1
US-2023-001051,2023-01-07,2023-01-10,Same Day,CUS-7624,Corporate,South,Tennessee,Furniture,Chairs,1458.04,7,0.3,157.13,1,2,0,1
US-2020-001052,2020-12-04,2020-12-11,First Class,CUS-3223,Home Office,East,Florida,Furniture,Chairs,785.04,2,0.4,39.97,2,1,0,0
US-2021-001054,2021-07-23,2021-07-30,First Class,CUS-4673,Corporate,Central,Texas,Office Supplies,Labels,6.42,1,0.3,0.25,1,0,1,0
US-2023-001055,2023-08-24,2023-08-25,Second Class,CUS-8758,Consumer,West,California,Technology,Computers,2784.34,4,0.0,273.89,0,3,2,2
US-2021-001057,2021-09-29,2021-09-30,Same Day,CUS-2669,Home Office,West,Oregon,Furniture,Tables,1106.03,2,0.1,285.21,2,3,0,1
US-2023-001058,2023-11-28,2023-12-03,Standard Class,CUS-9289,Consumer,West,Arizona,Office Supplies,Art,104.97,6,0.0,11.12,0,3,1,3
US-2023-001059,2023-08-19,2023-08-24,First Class,CUS-8135,Corporate,West,Nevada,Furniture,Bookcases,1319.01,8,0.0,279.37,1,3,0,0
US-2020-001060,2020-12-26,2020-12-31,Standard Class,CUS-8385,Corporate,South,Tennessee,Furniture,Tables,1516.02,2,0.2,324.81,1,2,0,3
US-2021-001061,2021-05-14,2021-05-21,Same Day,CUS-6813,Consumer,South,Alabama,Furniture,Tables,3708.81,8,0.1,254.93,0,2,0,1
US-2021-001062,2021-06-13,2021-06-18,Standard Class,CUS-2402,Home Office,Central,Wisconsin,Office Supplies,Binders,228.59,9,0.1,33.72,2,0,1,3
US-2021-001063,2021-05-09,2021-05-16,Same Day,CUS-1282,Consumer,South,Mississippi,Office Supplies,Fasteners,45.09,8,0.5,4.17,0,2,1,1
US-2020-001064,2020-07-09,2020-07-14,Second Class,CUS-7971,Home Office,East,Virginia,Furniture,Bookcases,867.0,8,0.3,93.74,2,1,0,2
US-2023-001065,2023-02-01,2023-02-06,Standard Class,CUS-6169,Corporate,Central,Indiana,Furniture,Tables,821.92,2,0.1,79.37,1,0,0,3
US-2020-001066,2020-09-01,2020-09-04,Same Day,CUS-5853,Home Office,East,Pennsylvania,Furniture,Bookcases,267.1,2,0.1,33.46,2,1,0,1
US-2021-001067,2021-04-10,2021-04-15,Second Class,CUS-3068,Consumer,East,Ohio,Furniture,Chairs,309.01,1,0.2,30.52,0,1,0,2
US-2023-001068,2023-07-30,2023-08-06,Standard Class,CUS-4020,Home Office,West,California,Furniture,Furnishings,435.25,8,0.3,60.41,2,3,0,3
US-2020-001070,2020-11-01,2020-11-06,Same Day,CUS-9561,Consumer,West,Washington,Office Supplies,Labels,123.24,10,0.1,12.81,0,3,1,1
US-2022-001071,2022-02-18,2022-02-25,Same Day,CUS-4404,Home Office,South,Alabama,Furniture,Chairs,2122.66,10,0.0,297.73,2,2,0,1
US-2023-001072,2023-07-05,2023-07-08,Second Class,CUS-7693,Consumer,Central,Texas,Technology,Phones,987.05,3,0.0,60.28,0,0,2,2
US-2022-001073,2022-07-11,2022-07-18,Standard Class,CUS-4824,Consumer,Central,Texas,Office Supplies,Storage,526.09,8,0.0,105.64,0,0,1,3
US-2021-001074,2021-06-25,2021-06-28,Second Class,CUS-2169,Home Office,South,Georgia,Office Supplies,Paper,58.47,5,0.0,7.81,2,2,1,2
US-2020-001075,2020-05-02,2020-05-05,Standard Class,CUS-7594,Home Office,Central,Wisconsin,Furniture,Chairs,2326.61,8,0.2,190.54,2,0,0,3
US-2021-001076,2021-07-11,2021-07-18,First Class,CUS-1423,Home Office,South,Georgia,Furniture,Bookcases,1158.24,10,0.2,153.2,2,2,0,0
US-2021-001078,2021-01-06,2021-01-13,Standard Class,CUS-3634,Corporate,South,Georgia,Furniture,Bookcases,865.77,6,0.0,241.1,1,2,0,3
US-2021-001079,2021-11-06,2021-11-13,Same Day,CUS-6153,Home Office,South,Alabama,Office Supplies,Binders,279.26,8,0.0,74.97,2,2,1,1
US-2021-001080,2021-05-31,2021-06-05,First Class,CUS-1888,Home Office,West,Nevada,Office Supplies,Labels,60.62,8,0.4,5.93,2,3,1,0
US-2021-001081,2021-01-19,2021-01-24,Second Class,CUS-8941,Consumer,South,Louisiana,Furniture,Tables,2370.18,5,0.5,149.84,0,2,0,2
US-2020-001082,2020-09-05,2020-09-06,First Class,CUS-2858,Corporate,East,Pennsylvania,Office Supplies,Art,21.07,2,0.1,5.24,1,1,1,0
US-2022-001083,2022-08-03,2022-08-04,Standard Class,CUS-8905,Home Office,East,Virginia,Office Supplies,Fasteners,22.05,5,0.4,0.95,2,1,1,3
US-2022-001084,2022-08-25,2022-08-28,Same Day,CUS-7798,Consumer,South,Mississippi,Technology,Computers,1240.79,2,0.2,189.5,0,2,2,1
